Analyzer_Comb,Comb_Token,LL_CWE_ID,HL_CWE_ID,Scenario,N_Detected_CVEs,N_All_CVEs
infer,IFR,125,664,Scenario 1 (S.1-1),11,50
infer,IFR,125,664,Scenario 2 (S.1-2),11,50
infer,IFR,125,664,Scenario 3 (S.2-1),3,50
infer,IFR,125,664,Scenario 4 (S.2-2),3,50
infer,IFR,770,664,Scenario 1 (S.1-1),0,1
infer,IFR,770,664,Scenario 2 (S.1-2),0,1
infer,IFR,770,664,Scenario 3 (S.2-1),0,1
infer,IFR,770,664,Scenario 4 (S.2-2),0,1
infer,IFR,189,682,Scenario 1 (S.1-1),0,1
infer,IFR,189,682,Scenario 2 (S.1-2),0,1
infer,IFR,189,682,Scenario 3 (S.2-1),0,1
infer,IFR,189,682,Scenario 4 (S.2-2),0,1
codeql,CQL,399,664,Scenario 1 (S.1-1),1,4
codeql,CQL,399,664,Scenario 2 (S.1-2),0,4
codeql,CQL,399,664,Scenario 3 (S.2-1),1,4
codeql,CQL,399,664,Scenario 4 (S.2-2),0,4
codeql,CQL,681,664,Scenario 1 (S.1-1),0,1
codeql,CQL,681,664,Scenario 2 (S.1-2),0,1
codeql,CQL,681,664,Scenario 3 (S.2-1),0,1
codeql,CQL,681,664,Scenario 4 (S.2-2),0,1
codeql,CQL,611,664,Scenario 1 (S.1-1),1,1
codeql,CQL,611,664,Scenario 2 (S.1-2),1,1
codeql,CQL,611,664,Scenario 3 (S.2-1),1,1
codeql,CQL,611,664,Scenario 4 (S.2-2),1,1
codeql,CQL,416,664,Scenario 1 (S.1-1),4,7
codeql,CQL,416,664,Scenario 2 (S.1-2),2,7
codeql,CQL,416,664,Scenario 3 (S.2-1),3,7
codeql,CQL,416,664,Scenario 4 (S.2-2),1,7
codeql,CQL,20,707,Scenario 1 (S.1-1),6,11
codeql,CQL,20,707,Scenario 2 (S.1-2),0,11
codeql,CQL,20,707,Scenario 3 (S.2-1),6,11
codeql,CQL,20,707,Scenario 4 (S.2-2),0,11
codeql,CQL,835,691,Scenario 1 (S.1-1),0,6
codeql,CQL,835,691,Scenario 2 (S.1-2),0,6
codeql,CQL,835,691,Scenario 3 (S.2-1),0,6
codeql,CQL,835,691,Scenario 4 (S.2-2),0,6
codeql,CQL,401,664,Scenario 1 (S.1-1),0,1
codeql,CQL,401,664,Scenario 2 (S.1-2),0,1
codeql,CQL,401,664,Scenario 3 (S.2-1),0,1
codeql,CQL,401,664,Scenario 4 (S.2-2),0,1
codeql,CQL,131,682,Scenario 1 (S.1-1),0,1
codeql,CQL,131,682,Scenario 2 (S.1-2),0,1
codeql,CQL,131,682,Scenario 3 (S.2-1),0,1
codeql,CQL,131,682,Scenario 4 (S.2-2),0,1
codeql,CQL,772,664,Scenario 1 (S.1-1),0,2
codeql,CQL,772,664,Scenario 2 (S.1-2),0,2
codeql,CQL,772,664,Scenario 3 (S.2-1),0,2
codeql,CQL,772,664,Scenario 4 (S.2-2),0,2
codeql,CQL,119,664,Scenario 1 (S.1-1),17,36
codeql,CQL,119,664,Scenario 2 (S.1-2),12,36
codeql,CQL,119,664,Scenario 3 (S.2-1),13,36
codeql,CQL,119,664,Scenario 4 (S.2-2),10,36
codeql,CQL,190,682,Scenario 1 (S.1-1),1,17
codeql,CQL,190,682,Scenario 2 (S.1-2),0,17
codeql,CQL,190,682,Scenario 3 (S.2-1),1,17
codeql,CQL,190,682,Scenario 4 (S.2-2),0,17
codeql,CQL,664,664,Scenario 1 (S.1-1),1,1
codeql,CQL,664,664,Scenario 2 (S.1-2),0,1
codeql,CQL,664,664,Scenario 3 (S.2-1),1,1
codeql,CQL,664,664,Scenario 4 (S.2-2),0,1
codeql,CQL,369,682,Scenario 1 (S.1-1),1,8
codeql,CQL,369,682,Scenario 2 (S.1-2),0,8
codeql,CQL,369,682,Scenario 3 (S.2-1),1,8
codeql,CQL,369,682,Scenario 4 (S.2-2),0,8
codeql,CQL,476,703,Scenario 1 (S.1-1),11,29
codeql,CQL,476,703,Scenario 2 (S.1-2),9,29
codeql,CQL,476,703,Scenario 3 (S.2-1),9,29
codeql,CQL,476,703,Scenario 4 (S.2-2),8,29
codeql,CQL,129,707,Scenario 1 (S.1-1),1,1
codeql,CQL,129,707,Scenario 2 (S.1-2),0,1
codeql,CQL,129,707,Scenario 3 (S.2-1),0,1
codeql,CQL,129,707,Scenario 4 (S.2-2),0,1
codeql,CQL,787,664,Scenario 1 (S.1-1),4,12
codeql,CQL,787,664,Scenario 2 (S.1-2),2,12
codeql,CQL,787,664,Scenario 3 (S.2-1),4,12
codeql,CQL,787,664,Scenario 4 (S.2-2),2,12
codeql,CQL,415,664,Scenario 1 (S.1-1),0,1
codeql,CQL,415,664,Scenario 2 (S.1-2),0,1
codeql,CQL,415,664,Scenario 3 (S.2-1),0,1
codeql,CQL,415,664,Scenario 4 (S.2-2),0,1
codeql,CQL,617,691,Scenario 1 (S.1-1),0,1
codeql,CQL,617,691,Scenario 2 (S.1-2),0,1
codeql,CQL,617,691,Scenario 3 (S.2-1),0,1
codeql,CQL,617,691,Scenario 4 (S.2-2),0,1
codeql,CQL,125,664,Scenario 1 (S.1-1),8,50
codeql,CQL,125,664,Scenario 2 (S.1-2),4,50
codeql,CQL,125,664,Scenario 3 (S.2-1),8,50
codeql,CQL,125,664,Scenario 4 (S.2-2),4,50
codeql,CQL,770,664,Scenario 1 (S.1-1),0,1
codeql,CQL,770,664,Scenario 2 (S.1-2),0,1
codeql,CQL,770,664,Scenario 3 (S.2-1),0,1
codeql,CQL,770,664,Scenario 4 (S.2-2),0,1
codeql,CQL,189,682,Scenario 1 (S.1-1),0,1
codeql,CQL,189,682,Scenario 2 (S.1-2),0,1
codeql,CQL,189,682,Scenario 3 (S.2-1),0,1
codeql,CQL,189,682,Scenario 4 (S.2-2),0,1
codechecker,CCH,399,664,Scenario 1 (S.1-1),0,4
codechecker,CCH,399,664,Scenario 2 (S.1-2),0,4
codechecker,CCH,399,664,Scenario 3 (S.2-1),0,4
codechecker,CCH,399,664,Scenario 4 (S.2-2),0,4
codechecker,CCH,681,664,Scenario 1 (S.1-1),0,1
codechecker,CCH,681,664,Scenario 2 (S.1-2),0,1
codechecker,CCH,681,664,Scenario 3 (S.2-1),0,1
codechecker,CCH,681,664,Scenario 4 (S.2-2),0,1
codechecker,CCH,611,664,Scenario 1 (S.1-1),0,1
codechecker,CCH,611,664,Scenario 2 (S.1-2),0,1
codechecker,CCH,611,664,Scenario 3 (S.2-1),0,1
codechecker,CCH,611,664,Scenario 4 (S.2-2),0,1
codechecker,CCH,416,664,Scenario 1 (S.1-1),0,7
codechecker,CCH,416,664,Scenario 2 (S.1-2),0,7
codechecker,CCH,416,664,Scenario 3 (S.2-1),0,7
codechecker,CCH,416,664,Scenario 4 (S.2-2),0,7
codechecker,CCH,20,707,Scenario 1 (S.1-1),1,11
codechecker,CCH,20,707,Scenario 2 (S.1-2),0,11
codechecker,CCH,20,707,Scenario 3 (S.2-1),1,11
codechecker,CCH,20,707,Scenario 4 (S.2-2),0,11
codechecker,CCH,835,691,Scenario 1 (S.1-1),1,6
codechecker,CCH,835,691,Scenario 2 (S.1-2),0,6
codechecker,CCH,835,691,Scenario 3 (S.2-1),1,6
codechecker,CCH,835,691,Scenario 4 (S.2-2),0,6
codechecker,CCH,401,664,Scenario 1 (S.1-1),0,1
codechecker,CCH,401,664,Scenario 2 (S.1-2),0,1
codechecker,CCH,401,664,Scenario 3 (S.2-1),0,1
codechecker,CCH,401,664,Scenario 4 (S.2-2),0,1
codechecker,CCH,131,682,Scenario 1 (S.1-1),0,1
codechecker,CCH,131,682,Scenario 2 (S.1-2),0,1
codechecker,CCH,131,682,Scenario 3 (S.2-1),0,1
codechecker,CCH,131,682,Scenario 4 (S.2-2),0,1
codechecker,CCH,772,664,Scenario 1 (S.1-1),0,2
codechecker,CCH,772,664,Scenario 2 (S.1-2),0,2
codechecker,CCH,772,664,Scenario 3 (S.2-1),0,2
codechecker,CCH,772,664,Scenario 4 (S.2-2),0,2
codechecker,CCH,119,664,Scenario 1 (S.1-1),2,36
codechecker,CCH,119,664,Scenario 2 (S.1-2),1,36
codechecker,CCH,119,664,Scenario 3 (S.2-1),0,36
codechecker,CCH,119,664,Scenario 4 (S.2-2),0,36
codechecker,CCH,190,682,Scenario 1 (S.1-1),2,17
codechecker,CCH,190,682,Scenario 2 (S.1-2),0,17
codechecker,CCH,190,682,Scenario 3 (S.2-1),2,17
codechecker,CCH,190,682,Scenario 4 (S.2-2),0,17
codechecker,CCH,664,664,Scenario 1 (S.1-1),0,1
codechecker,CCH,664,664,Scenario 2 (S.1-2),0,1
codechecker,CCH,664,664,Scenario 3 (S.2-1),0,1
codechecker,CCH,664,664,Scenario 4 (S.2-2),0,1
codechecker,CCH,369,682,Scenario 1 (S.1-1),0,8
codechecker,CCH,369,682,Scenario 2 (S.1-2),0,8
codechecker,CCH,369,682,Scenario 3 (S.2-1),0,8
codechecker,CCH,369,682,Scenario 4 (S.2-2),0,8
codechecker,CCH,476,703,Scenario 1 (S.1-1),5,29
codechecker,CCH,476,703,Scenario 2 (S.1-2),4,29
codechecker,CCH,476,703,Scenario 3 (S.2-1),4,29
codechecker,CCH,476,703,Scenario 4 (S.2-2),3,29
codechecker,CCH,129,707,Scenario 1 (S.1-1),0,1
codechecker,CCH,129,707,Scenario 2 (S.1-2),0,1
codechecker,CCH,129,707,Scenario 3 (S.2-1),0,1
codechecker,CCH,129,707,Scenario 4 (S.2-2),0,1
codechecker,CCH,787,664,Scenario 1 (S.1-1),0,12
codechecker,CCH,787,664,Scenario 2 (S.1-2),0,12
codechecker,CCH,787,664,Scenario 3 (S.2-1),0,12
codechecker,CCH,787,664,Scenario 4 (S.2-2),0,12
codechecker,CCH,415,664,Scenario 1 (S.1-1),0,1
codechecker,CCH,415,664,Scenario 2 (S.1-2),0,1
codechecker,CCH,415,664,Scenario 3 (S.2-1),0,1
codechecker,CCH,415,664,Scenario 4 (S.2-2),0,1
codechecker,CCH,617,691,Scenario 1 (S.1-1),0,1
codechecker,CCH,617,691,Scenario 2 (S.1-2),0,1
codechecker,CCH,617,691,Scenario 3 (S.2-1),0,1
codechecker,CCH,617,691,Scenario 4 (S.2-2),0,1
codechecker,CCH,125,664,Scenario 1 (S.1-1),3,50
codechecker,CCH,125,664,Scenario 2 (S.1-2),0,50
codechecker,CCH,125,664,Scenario 3 (S.2-1),1,50
