Analyzer_Comb,Comb_Token,Target,N_All_Fcts,N_Marked_Fcts,Ratio_Marked_Fcts
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,libxml2,2982,1141,0.3826291079812207
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,poppler,4659,540,0.1159047005795235
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,openssl,13036,3586,0.27508438171218164
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,php,9145,4634,0.5067249863313286
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,sqlite3,2298,517,0.22497824194952132
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,ffmpeg,17788,3278,0.18428153811558354
cppcheck-codeql-codechecker-commsca,CPC-CQL-CCH-CSA,binutils,4071,1112,0.2731515598133137
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,libpng,398,59,0.14824120603015076
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,libtiff,826,114,0.13801452784503632
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,libxml2,2982,1151,0.3859825620389001
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,poppler,4659,574,0.12320240394934535
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,openssl,13036,3843,0.2947990181037128
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,php,9145,4660,0.5095680699835976
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,sqlite3,2298,574,0.24978241949521324
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,ffmpeg,17788,3060,0.17202608500112435
infer-codeql-codechecker-commsca,IFR-CQL-CCH-CSA,binutils,4071,1173,0.288135593220339
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,libpng,398,53,0.13316582914572864
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,libtiff,826,92,0.11138014527845036
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,libxml2,2982,988,0.3313212608987257
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,poppler,4659,239,0.05129856192315948
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,openssl,13036,3248,0.2491561828781835
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,php,9145,4363,0.47709130672498634
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,sqlite3,2298,532,0.23150565709312446
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,ffmpeg,17788,3221,0.18107713064987632
flawfinder-cppcheck-infer-codeql-codechecker,FLF-CPC-IFR-CQL-CCH,binutils,4071,710,0.17440432326209776
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,libpng,398,74,0.18592964824120603
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,libtiff,826,123,0.14891041162227603
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,libxml2,2982,1151,0.3859825620389001
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,poppler,4659,635,0.1362953423481434
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,openssl,13036,3991,0.3061521939245167
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,php,9145,4851,0.5304537998906507
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,sqlite3,2298,641,0.2789382071366406
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,ffmpeg,17788,4027,0.22638857656847314
flawfinder-cppcheck-infer-codeql-commsca,FLF-CPC-IFR-CQL-CSA,binutils,4071,1324,0.32522721690002454
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,libpng,398,63,0.15829145728643215
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,libtiff,826,110,0.13317191283292978
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,libxml2,2982,618,0.20724346076458752
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,poppler,4659,662,0.14209057737711955
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,openssl,13036,3065,0.2351181343970543
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,php,9145,2923,0.3196282121377802
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,sqlite3,2298,476,0.2071366405570061
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,ffmpeg,17788,3286,0.18473127951427928
flawfinder-cppcheck-infer-codechecker-commsca,FLF-CPC-IFR-CCH-CSA,binutils,4071,1340,0.3291574551707197
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,libpng,398,57,0.14321608040201006
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,libtiff,826,85,0.10290556900726393
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,libxml2,2982,1152,0.386317907444668
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,poppler,4659,615,0.1320025756600129
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,openssl,13036,3750,0.2876649278919914
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,php,9145,4753,0.5197375615090213
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,sqlite3,2298,567,0.24673629242819844
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,ffmpeg,17788,3889,0.21863053744097144
flawfinder-cppcheck-codeql-codechecker-commsca,FLF-CPC-CQL-CCH-CSA,binutils,4071,1238,0.3041021861950381
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,libpng,398,74,0.18592964824120603
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,libtiff,826,123,0.14891041162227603
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,libxml2,2982,1161,0.3893360160965795
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,poppler,4659,641,0.13758317235458253
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,openssl,13036,4008,0.3074562749309604
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,php,9145,4768,0.5213778020776381
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,sqlite3,2298,621,0.27023498694516973
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,ffmpeg,17788,3704,0.20823026759613222
flawfinder-infer-codeql-codechecker-commsca,FLF-IFR-CQL-CCH-CSA,binutils,4071,1296,0.318349299926308
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,libpng,398,59,0.14824120603015076
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,libtiff,826,114,0.13801452784503632
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,libxml2,2982,1156,0.3876592890677398
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,poppler,4659,596,0.1279244473062889
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,openssl,13036,3987,0.30584535133476526
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,php,9145,4755,0.5199562602515035
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,sqlite3,2298,596,0.25935596170583114
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,ffmpeg,17788,3518,0.19777378007645605
cppcheck-infer-codeql-codechecker-commsca,CPC-IFR-CQL-CCH-CSA,binutils,4071,1223,0.3004175878162614
flawfinder-cppcheck-infer-codeql-codechecker-commsca,FLF-CPC-IFR-CQL-CCH-CSA,libpng,398,74,0.18592964824120603
flawfinder-cppcheck-infer-codeql-codechecker-commsca,FLF-CPC-IFR-CQL-CCH-CSA,libtiff,826,123,0.14891041162227603
